,location,total_sqft,bath,price,bhk,encoded_loc
4078,others,1740.0,3,55.0,3,230
4079,GM Palaya,1225.0,2,47.0,2,78
4080,Thanisandra,1241.0,2,61.0,3,209
4081,Hennur,1041.0,2,40.6,2,95
4082,Bommanahalli,1050.0,2,46.0,2,47
4083,Kanakpura Road,1309.0,2,64.39,2,127
4084,Dodda Nekkundi,1128.0,2,45.0,2,67
4085,Raja Rajeshwari Nagar,1430.0,2,50.0,3,184
4086,Old Madras Road,1065.0,2,47.86,2,177
4087,OMBR Layout,1085.0,2,64.0,2,175
4088,Vishveshwarya Layout,750.0,1,30.0,1,221
4089,Bellandur,981.0,2,37.28,2,40
4090,Kalyan nagar,1410.0,2,60.0,3,122
4091,Hosa Road,1525.84,3,117.0,3,101
4092,Begur Road,1200.0,2,42.6,2,39
4093,others,1030.0,2,80.0,2,230
4094,others,1852.0,2,95.0,3,230
4095,Jigani,918.0,2,49.0,2,113
4096,JP Nagar,1150.0,2,49.9,3,109
4097,others,1150.0,2,69.0,2,230
4098,Whitefield,1227.0,2,53.49,2,224
4099,Panathur,1198.0,2,82.0,2,180
4100,others,2600.0,3,95.0,4,230
4101,others,797.0,2,32.0,2,230
4102,others,1350.0,2,68.0,3,230
4103,Sahakara Nagar,2500.0,4,200.0,4,190
4104,Thigalarapalya,2215.0,4,160.0,3,210
4105,others,1500.0,2,90.0,3,230
4106,others,900.0,2,55.0,2,230
4107,others,1355.0,2,58.27,3,230
4108,Kudlu Gate,1465.0,2,49.81,3,148
4109,Ramamurthy Nagar,1006.0,2,57.0,2,188
4110,Vishveshwarya Layout,2000.0,4,75.0,4,221
4111,Electronic City,1128.0,2,65.7,2,74
4112,others,850.0,2,35.0,2,230
4113,ISRO Layout,1310.0,2,68.0,3,106
4114,Banashankari,1390.0,2,86.0,2,26
4115,Kathriguppe,1390.0,2,76.45,3,132
4116,Gottigere,1385.0,2,50.0,3,82
4117,Old Madras Road,1160.0,2,42.0,2,177
4118,Bannerghatta Road,1200.0,2,69.0,3,34
4119,Mahadevpura,1475.0,2,55.0,2,156
4120,Sarjapur  Road,1939.0,3,98.0,3,194
4121,7th Phase JP Nagar,850.0,2,42.0,2,6
4122,Balagere,675.0,1,45.0,1,25
4123,Electronic City,1060.0,2,51.0,2,74
4124,Whitefield,1235.0,2,47.0,2,224
4125,others,1250.0,2,60.0,2,230
4126,Banashankari,1460.0,2,70.0,2,26
4127,Indira Nagar,850.0,1,57.0,1,108
4128,Kanakpura Road,1843.0,3,82.0,3,127
4129,7th Phase JP Nagar,1680.0,3,117.0,3,6
4130,Kundalahalli,1047.0,2,84.0,2,150
4131,8th Phase JP Nagar,1100.0,2,35.0,2,7
4132,Nagarbhavi,1120.0,2,53.0,2,169
4133,others,970.0,2,35.0,2,230
4134,Hosa Road,1100.0,2,85.0,3,101
4135,Uttarahalli,1685.0,3,85.0,3,216
4136,others,1148.0,2,59.0,2,230
4137,Marathahalli,1050.0,2,65.0,2,161
4138,Bannerghatta Road,1465.0,2,76.0,3,34
4139,Kothanur,3401.0,5,230.0,4,146
4140,others,1350.0,3,60.0,3,230
4141,Banashankari Stage III,1200.0,2,42.0,2,28
4142,others,1100.0,2,78.0,2,230
4143,Kaggadasapura,1140.0,2,46.0,2,118
4144,Hormavu,1617.5,3,73.595,3,100
4145,Gottigere,1410.0,2,45.0,2,82
4146,Mahadevpura,1434.0,2,67.39,3,156
4147,others,1180.0,2,74.0,2,230
4148,EPIP Zone,1343.0,2,86.0,2,73
4149,LB Shastri Nagar,1184.0,2,69.0,2,151
4150,others,4510.0,4,200.0,3,230
4151,Sarjapur  Road,3785.0,5,280.0,4,194
4152,others,1540.0,3,85.0,3,230
4153,Kanakpura Road,1550.0,3,65.11,3,127
4154,Yelahanka,1345.0,2,57.0,3,226
4155,Electronic City Phase II,975.0,2,45.0,3,75
4156,JP Nagar,1152.0,2,34.56,2,109
4157,others,1033.0,2,31.5,3,230
4158,Subramanyapura,1223.0,2,42.81,3,205
4159,Kadugodi,1762.0,3,112.0,3,117
4160,KR Puram,2000.0,6,85.0,6,115
4161,Thanisandra,1853.0,3,64.86,3,209
4162,Kothanur,1455.0,2,69.0,2,146
4163,Sarjapur  Road,2556.0,3,169.0,3,194
4164,TC Palaya,1200.0,2,66.5,3,207
4165,others,1200.0,2,37.0,2,230
4166,Whitefield,1870.0,3,138.0,3,224
4167,Panathur,1199.0,2,86.0,2,180
4168,Doddakallasandra,1360.0,2,54.4,3,69
4169,Babusapalaya,1230.0,3,53.0,3,24
4170,others,2000.0,3,120.0,3,230
4171,Kundalahalli,1047.0,2,83.0,2,150
4172,Electronic City Phase II,6000.0,4,260.0,4,75
4173,Ramamurthy Nagar,1200.0,2,76.0,2,188
4174,Kengeri Satellite Town,1302.5,2,44.285,2,136
4175,Kengeri,725.0,2,30.0,2,135
4176,Jakkur,1645.0,3,100.0,3,110
4177,Sultan Palaya,870.0,2,65.0,2,206
4178,Marathahalli,1026.0,2,49.95,2,161
4179,others,2000.0,3,145.0,3,230
4180,Hosur Road,1766.0,3,130.0,3,104
4181,others,500.0,1,15.0,1,230
4182,Jigani,1221.0,3,52.0,3,113
4183,Rachenahalli,680.0,1,46.0,1,183
4184,Sarjapur  Road,1278.0,2,90.0,2,194
4185,Kodichikkanahalli,1025.0,2,66.0,2,138
4186,Whitefield,1175.0,2,39.0,2,224
4187,others,850.0,2,42.0,2,230
4188,Anjanapura,710.0,2,25.0,2,18
4189,Sarjapur,625.0,1,19.0,1,193
4190,Kaggadasapura,1340.0,3,66.0,3,118
4191,Ananth Nagar,937.0,2,35.0,2,16
4192,JP Nagar,750.0,1,52.5,1,109
4193,Shampura,1475.0,3,78.0,3,199
4194,others,2230.0,4,130.0,4,230
4195,others,2200.0,5,100.0,4,230
4196,Mysore Road,900.0,2,65.0,2,166
4197,Electronic City Phase II,1116.0,2,37.0,2,75
4198,Hoodi,948.0,2,75.0,2,97
4199,R.T. Nagar,970.0,2,55.0,2,182
4200,others,1519.0,3,67.23,3,230
4201,Thanisandra,1200.0,2,65.0,3,209
4202,Bhoganhalli,1760.0,3,127.0,3,43
4203,Budigere,1820.0,3,85.5,3,52
4204,Kalena Agrahara,1565.0,3,78.0,3,121
4205,Begur Road,1334.0,2,42.69,2,39
4206,Sarakki Nagar,924.0,2,76.23,2,192
4207,Jigani,914.0,2,49.0,2,113
4208,Kengeri,500.0,1,17.0,1,135
4209,Yelahanka,2145.0,3,125.0,3,226
4210,Electronic City,1650.0,3,100.0,3,74
4211,Marathahalli,3940.0,4,220.0,4,161
4212,Basaveshwara Nagar,1180.0,2,58.0,2,36
4213,Bommasandra,1014.0,2,35.0,2,48
4214,Attibele,695.0,1,25.0,2,21
4215,GM Palaya,1140.0,2,48.95,2,78
4216,Begur Road,2400.0,4,152.0,4,39
4217,Attibele,850.0,1,25.0,2,21
4218,Banashankari,1200.0,2,60.0,2,26
4219,others,3160.0,4,206.0,4,230
4220,Hoodi,1769.0,3,96.87,3,97
4221,Mallasandra,905.0,2,40.0,2,158
4222,Kothanur,627.0,1,30.0,1,146
4223,Marathahalli,1435.0,3,73.0,3,161
4224,Kodihalli,1620.0,3,130.0,3,141
4225,Whitefield,1862.0,3,125.0,3,224
4226,Kaikondrahalli,674.0,1,19.9,2,120
4227,Marathahalli,1220.0,2,59.0,2,161
4228,Electronic City,1025.0,2,49.0,2,74
4229,Thanisandra,1430.0,2,54.5,3,209
4230,Panathur,1235.0,2,65.0,2,180
4231,Kanakpura Road,1498.0,3,95.0,3,127
4232,Electronic City,1000.0,2,29.7,2,74
4233,others,922.0,2,70.0,2,230
4234,AECS Layout,1123.0,2,64.0,2,9
4235,Raja Rajeshwari Nagar,1235.0,2,75.0,2,184
4236,Kogilu,1250.0,2,55.55,2,142
4237,Sarjapur  Road,1305.0,2,99.0,2,194
4238,others,1200.0,1,65.0,2,230
4239,Hebbal,2790.0,5,204.0,4,92
4240,Old Madras Road,2010.0,3,125.0,4,177
4241,Electronics City Phase 1,995.0,2,42.0,2,76
4242,Varthur Road,1277.0,2,59.0,2,218
4243,7th Phase JP Nagar,1236.0,2,61.33,2,6
4244,Akshaya Nagar,1265.0,2,67.0,2,11
4245,Kanakpura Road,525.0,0,27.0,1,127
4246,Gubbalala,2570.0,4,141.0,5,84
4247,others,1442.0,3,56.24,3,230
4248,Ardendale,1224.0,2,70.0,2,19
4249,Bellandur,1205.0,2,59.0,2,40
4250,others,1233.0,2,100.0,2,230
4251,5th Block Hbr Layout,1312.0,2,69.0,2,3
4252,Electronic City,1449.0,3,90.0,3,74
4253,Yelenahalli,1090.0,2,54.0,2,228
4254,Kaggadasapura,2100.0,5,150.0,5,118
4255,JP Nagar,1200.0,2,78.0,2,109
4256,BTM 2nd Stage,1000.0,2,58.0,2,22
4257,Devanahalli,2400.0,5,190.0,4,65
4258,Thanisandra,1732.0,3,85.73,3,209
4259,Banashankari,1290.0,2,80.0,2,26
4260,others,1840.0,3,85.0,3,230
4261,Thanisandra,1917.0,4,100.0,3,209
4262,others,1100.0,2,57.0,2,230
4263,Kudlu,1455.0,2,60.0,3,147
4264,Devarachikkanahalli,1425.0,2,65.0,3,66
4265,Whitefield,1655.0,3,113.0,3,224
4266,Haralur Road,2805.0,5,160.0,4,90
4267,others,1040.0,2,46.79,2,230
4268,Akshaya Nagar,1126.0,2,55.0,2,11
4269,Hebbal,1250.0,2,55.55,2,92
4270,others,1200.0,2,53.0,2,230
4271,others,2050.0,3,100.0,4,230
4272,Whitefield,530.0,1,29.44,1,224
4273,Sarjapur,2585.5,4,139.5,4,193
4274,Kambipura,883.0,2,37.0,2,123
4275,Sompura,1275.0,3,59.0,3,203
4276,others,800.0,2,30.0,2,230
4277,Devanahalli,1200.0,1,95.0,1,65
4278,Bellandur,1063.0,2,58.0,2,40
4279,Balagere,656.0,1,43.0,1,25
4280,others,1125.0,2,36.0,2,230
4281,Marathahalli,881.0,2,48.06,2,161
4282,Bisuvanahalli,700.0,1,32.0,2,46
4283,others,1936.0,3,110.0,3,230
4284,Hosa Road,1680.0,3,101.0,3,101
4285,Rayasandra,1253.0,2,57.0,2,189
4286,Mysore Road,1082.0,3,50.0,3,166
4287,Iblur Village,2100.0,4,145.0,3,107
4288,Electronic City,1070.0,2,58.0,2,74
4289,Raja Rajeshwari Nagar,1280.0,3,57.6,3,184
4290,Sarjapur  Road,1755.0,3,122.0,3,194
4291,Electronic City,1210.0,2,54.0,2,74
4292,Talaghattapura,951.0,2,30.43,2,208
4293,Electronic City,1500.0,2,75.0,3,74
4294,others,1652.5,3,90.0,3,230
4295,Yeshwanthpur,1381.0,2,76.18,3,229
4296,Whitefield,1085.0,2,57.0,2,224
4297,Whitefield,905.0,1,50.0,1,224
4298,Hennur Road,1685.0,3,95.0,3,96
4299,Somasundara Palya,1200.0,2,75.0,2,202
4300,Anandapura,1151.0,2,42.9,2,15
4301,Brookefield,3532.0,3,170.0,4,51
4302,Kanakpura Road,1665.0,3,86.91,3,127
4303,Kengeri Satellite Town,800.0,2,40.0,2,136
4304,Rajiv Nagar,1030.0,2,46.5,2,186
4305,Hoodi,1257.0,2,71.03,2,97
4306,Whitefield,1600.0,3,82.0,3,224
4307,Choodasandra,1465.0,3,75.0,3,60
4308,Jakkur,1650.0,3,111.0,3,110
4309,Whitefield,1230.0,4,80.0,4,224
4310,Koramangala,1300.0,2,82.0,2,144
4311,KR Puram,1000.0,2,44.5,2,115
4312,Mahadevpura,1146.0,2,53.8,2,156
4313,others,2159.0,3,110.0,3,230
4314,Whitefield,1255.0,2,40.0,2,224
4315,Padmanabhanagar,1200.0,2,60.0,2,178
4316,Sarjapur  Road,1040.0,2,37.0,2,194
4317,Uttarahalli,1180.0,2,41.3,2,216
4318,KR Puram,1200.0,2,47.0,2,115
4319,Sarjapur  Road,1374.0,3,51.0,3,194
4320,Whitefield,630.5,1,32.15,1,224
4321,Jalahalli,2384.0,4,165.0,3,111
4322,Yelahanka,1200.0,2,54.0,2,226
4323,Haralur Road,2017.0,3,105.0,3,90
4324,others,700.0,2,43.0,2,230
4325,Kanakpura Road,1495.0,2,52.33,3,127
4326,Kothanur,1302.0,2,68.5,2,146
4327,Whitefield,905.0,1,52.0,1,224
4328,Electronics City Phase 1,1350.0,3,71.0,3,76
4329,Gottigere,1380.0,2,95.0,3,82
4330,Harlur,1620.0,3,110.0,3,91
4331,Chandapura,4800.0,4,250.0,4,55
4332,Sarjapur  Road,1000.0,2,38.5,2,194
4333,Thanisandra,1250.0,1,54.0,2,209
4334,Anekal,997.0,3,55.0,3,17
4335,Kothanur,1760.0,3,111.0,3,146
4336,Yelahanka,1322.0,2,75.0,2,226
4337,others,1365.0,3,99.0,3,230
4338,Kaggadasapura,1256.0,2,50.0,3,118
4339,Brookefield,941.0,2,48.0,2,51
4340,Hennur Road,1414.0,2,84.18,2,96
4341,Chikkalasandra,1270.0,2,55.25,3,59
4342,Kengeri Satellite Town,4100.0,3,300.0,4,136
4343,Kanakpura Road,712.0,1,38.44,1,127
4344,Hebbal,1200.0,2,49.0,2,92
4345,Kengeri Satellite Town,654.0,1,22.0,1,136
4346,others,708.0,1,55.0,2,230
4347,others,1680.0,3,135.0,3,230
4348,others,990.0,2,58.0,2,230
4349,Uttarahalli,1380.0,2,42.0,2,216
4350,Hebbal,1088.0,2,62.0,2,92
4351,Harlur,1414.0,3,77.5,3,91
4352,others,1240.0,2,100.0,2,230
4353,others,1810.0,3,118.0,3,230
4354,Kothanur,1185.0,2,58.0,2,146
4355,Whitefield,1200.0,3,57.15,3,224
4356,others,1265.0,2,58.0,2,230
4357,Sahakara Nagar,1100.0,2,55.0,2,190
4358,others,1035.0,2,44.0,2,230
4359,Sonnenahalli,614.5,1,30.715,1,204
4360,Hegde Nagar,1179.0,2,49.35,2,94
4361,Vittasandra,1650.0,3,84.0,3,223
4362,others,2800.0,4,100.0,6,230
4363,others,3500.0,6,120.0,8,230
4364,others,1430.0,3,78.65,3,230
4365,Marathahalli,1130.0,2,58.0,3,161
4366,JP Nagar,1850.0,2,110.0,3,109
4367,Hennur,1340.0,3,54.24,3,95
4368,Sarjapur  Road,4334.0,0,338.0,4,194
4369,Channasandra,1160.0,2,55.0,2,56
4370,others,1200.0,2,45.0,1,230
4371,others,1116.0,2,37.6,2,230
4372,others,1090.0,2,45.0,2,230
4373,JP Nagar,1100.0,2,45.0,2,109
4374,Vijayanagar,1484.0,3,79.19,3,220
4375,Green Glen Layout,1630.0,3,68.0,3,83
4376,Whitefield,1451.0,2,52.43,3,224
4377,Kanakpura Road,1330.0,2,107.0,2,127
4378,Thanisandra,2127.0,3,135.0,3,209
4379,others,1260.0,4,65.0,4,230
4380,Sarjapur  Road,1173.0,2,45.75,3,194
4381,Electronics City Phase 1,1445.0,2,56.0,3,76
4382,Thanisandra,2336.5,3,115.89,3,209
4383,JP Nagar,1197.0,2,47.88,2,109
4384,Kanakpura Road,1450.0,3,62.4,3,127
4385,Whitefield,1187.0,2,37.85,2,224
4386,Channasandra,1050.0,2,41.0,2,56
4387,Panathur,1370.0,2,54.8,3,180
4388,Yelahanka,1036.0,2,39.37,2,226
4389,JP Nagar,1275.0,3,41.2,3,109
4390,Old Madras Road,2010.0,3,115.0,4,177
4391,Thanisandra,1265.0,2,46.6,2,209
4392,Anandapura,1576.0,3,58.0,3,15
4393,Dodda Nekkundi,1148.0,2,56.0,2,67
4394,others,1000.0,2,36.0,2,230
4395,Kudlu,1293.0,2,85.0,3,147
4396,Munnekollal,1210.0,2,75.0,2,164
4397,HSR Layout,1126.0,2,69.0,2,89
4398,Vidyaranyapura,1440.0,2,70.0,3,219
4399,Ramamurthy Nagar,1300.0,2,52.0,3,188
4400,Thanisandra,1276.0,2,75.0,2,209
4401,Whitefield,1216.0,2,83.0,2,224
4402,Sompura,1126.0,2,39.0,2,203
4403,Raja Rajeshwari Nagar,1162.0,2,65.0,2,184
4404,Whitefield,1301.0,2,65.0,2,224
4405,Devanahalli,658.0,1,34.0,1,65
4406,1st Phase JP Nagar,1576.0,1,63.0,1,1
4407,Chandapura,1208.51,3,42.0,3,55
4408,Raja Rajeshwari Nagar,1133.0,2,38.41,2,184
4409,others,1760.0,2,116.0,3,230
4410,others,1145.0,2,57.0,2,230
4411,Bannerghatta Road,1302.5,2,67.73,2,34
4412,others,3317.5,5,268.5,4,230
4413,Dasarahalli,1300.0,2,50.0,2,64
4414,Jigani,2420.0,4,190.0,4,113
4415,Thubarahalli,1216.0,2,80.0,2,211
4416,Tumkur Road,1459.0,2,110.0,3,214
4417,Jakkur,1622.0,2,80.0,3,110
4418,Kanakpura Road,1843.0,3,85.0,3,127
4419,Malleshpalya,1430.0,2,69.5,3,159
4420,Begur Road,1565.0,2,57.91,3,39
4421,others,1410.0,2,75.0,2,230
4422,Kengeri Satellite Town,1060.0,2,42.0,2,136
4423,Sarjapur  Road,1120.0,2,50.0,2,194
4424,Hosa Road,880.0,2,50.0,2,101
4425,Dodda Nekkundi,1435.0,3,57.2,3,67
4426,Doddakallasandra,1425.0,2,56.99,3,69
4427,Arekere,900.0,2,50.0,2,20
4428,others,2400.0,5,93.0,5,230
4429,Electronic City,2435.0,4,119.0,4,74
4430,Iblur Village,1920.0,3,150.0,3,107
4431,Nagavarapalya,705.0,1,55.0,1,172
4432,others,1200.0,2,75.6,3,230
4433,Mahadevpura,1532.0,2,62.0,2,156
4434,Rajiv Nagar,1330.0,2,93.0,2,186
4435,Sarjapur  Road,1530.0,2,60.0,3,194
4436,Kasavanhalli,1105.0,2,42.0,2,130
4437,Harlur,1630.0,3,95.1,3,91
4438,Brookefield,1595.0,2,75.0,3,51
4439,7th Phase JP Nagar,1000.0,2,53.0,2,6
4440,Uttarahalli,1737.0,2,95.0,3,216
4441,others,2100.0,4,150.0,4,230
4442,Hosakerehalli,3600.0,6,145.0,8,102
4443,Mysore Road,883.0,2,50.0,2,166
4444,BTM Layout,1776.0,2,75.0,3,23
4445,Whitefield,1330.0,2,55.0,3,224
4446,Thanisandra,2259.0,5,135.0,4,209
4447,JP Nagar,2700.0,4,160.0,7,109
4448,Gubbalala,1008.0,2,32.25,2,84
4449,others,1200.0,2,52.5,2,230
4450,Yelahanka,1405.0,2,50.58,2,226
4451,Yelahanka,602.0,1,26.0,1,226
4452,JP Nagar,1500.0,2,82.0,3,109
4453,others,1539.0,3,60.0,3,230
4454,Judicial Layout,1100.0,2,53.0,3,114
4455,Raja Rajeshwari Nagar,1151.0,2,49.0,2,184
4456,others,920.0,2,46.0,2,230
4457,Kathriguppe,1350.0,3,78.3,3,132
4458,Bannerghatta Road,1200.0,2,65.0,2,34
4459,Thanisandra,1265.0,2,78.0,2,209
4460,Sarjapur  Road,1700.0,3,93.5,3,194
4461,others,1550.0,4,120.0,4,230
4462,R.T. Nagar,1560.0,3,125.0,3,182
4463,Sarjapur  Road,1403.0,3,56.0,3,194
4464,Tumkur Road,1416.0,3,94.0,3,214
4465,Kanakpura Road,1628.0,2,68.0,2,127
4466,7th Phase JP Nagar,1680.0,3,125.0,3,6
4467,Doddathoguru,1595.0,3,62.0,3,70
4468,Kanakpura Road,1507.0,2,95.0,3,127
4469,Hennur Road,1949.0,3,133.0,3,96
4470,others,905.0,2,50.0,2,230
4471,Kaikondrahalli,1605.0,3,105.0,3,120
4472,Bommanahalli,1290.0,2,73.0,2,47
4473,Yelahanka,1100.0,2,60.0,2,226
4474,Vishveshwarya Layout,2100.0,6,92.0,6,221
4475,Electronics City Phase 1,995.0,2,49.8,2,76
4476,Gottigere,1425.0,2,47.0,3,82
4477,others,1455.0,2,55.0,3,230
4478,others,550.0,1,23.0,1,230
4479,Vishveshwarya Layout,7000.0,4,210.0,4,221
4480,others,4000.0,3,130.0,5,230
4481,others,1060.0,2,53.0,2,230
4482,others,1080.0,2,75.0,3,230
4483,HBR Layout,1783.0,3,125.0,3,87
4484,Haralur Road,1520.0,2,90.0,3,90
4485,Sarjapur  Road,1060.0,2,55.0,2,194
4486,Raja Rajeshwari Nagar,1267.0,2,54.35,2,184
4487,Whitefield,1155.0,2,55.0,2,224
4488,Karuna Nagar,2500.0,3,180.0,3,129
4489,Bannerghatta Road,1240.0,2,65.0,2,34
4490,others,1570.0,3,78.0,3,230
4491,NGR Layout,1019.0,2,45.9,2,167
4492,Whitefield,1355.0,3,76.0,2,224
4493,others,1537.0,3,110.0,3,230
4494,Whitefield,4075.0,5,226.0,4,224
4495,Raja Rajeshwari Nagar,1550.0,3,52.45,3,184
4496,Raja Rajeshwari Nagar,1100.0,2,50.0,2,184
4497,9th Phase JP Nagar,1466.0,2,71.0,2,8
4498,Rachenahalli,1550.0,3,72.5,3,183
4499,Akshaya Nagar,2300.0,4,102.0,3,11
4500,Kengeri,540.0,1,22.5,1,135
4501,others,1020.0,2,48.0,2,230
4502,Hoodi,1305.0,2,75.0,2,97
4503,Sarjapur,2100.0,3,125.0,4,193
4504,Horamavu Banaswadi,1225.0,2,49.5,2,99
4505,Hennur,1255.0,2,55.5,2,95
4506,others,1191.0,2,90.0,2,230
4507,others,865.0,2,35.11,2,230
4508,Nagarbhavi,1850.0,2,88.0,3,169
4509,Yelahanka,1614.0,2,100.0,3,226
4510,Thigalarapalya,2072.0,4,155.0,3,210
4511,Electronic City,919.0,2,34.0,2,74
4512,others,2100.0,4,90.0,4,230
4513,others,1000.0,2,42.0,2,230
4514,Lingadheeranahalli,2245.0,4,154.0,4,154
4515,Ambedkar Nagar,1852.0,3,130.0,3,13
4516,others,1225.0,2,47.0,2,230
4517,Panathur,1597.0,3,67.12,3,180
4518,Jakkur,2423.0,4,160.0,3,110
4519,Marathahalli,1152.0,2,90.0,2,161
4520,Harlur,1762.0,3,133.0,3,91
4521,Kammasandra,1400.0,3,92.0,3,125
4522,Yelahanka,1890.0,3,108.0,3,226
4523,Varthur Road,1247.0,2,58.0,3,218
4524,Bellandur,1201.0,2,59.99,2,40
4525,others,830.0,2,40.0,2,230
4526,Bommanahalli,1100.0,1,55.0,2,47
4527,9th Phase JP Nagar,1890.0,2,93.0,3,8
4528,others,1685.0,3,60.0,3,230
4529,Battarahalli,1165.0,2,43.0,2,37
4530,others,827.0,2,45.0,2,230
4531,Electronics City Phase 1,635.0,1,26.0,1,76
4532,others,1050.0,2,50.0,2,230
4533,Yelenahalli,1500.0,2,57.0,3,228
4534,Raja Rajeshwari Nagar,1751.0,3,72.0,3,184
4535,Bommasandra,1020.0,2,40.89,2,48
4536,Thanisandra,1148.0,2,43.5,2,209
4537,others,1060.0,2,49.27,2,230
4538,Haralur Road,1300.0,2,60.0,2,90
4539,Hormavu,3000.0,4,100.0,4,100
4540,Bellandur,1325.0,2,65.0,2,40
4541,others,1261.0,2,61.0,2,230
4542,others,1100.0,2,46.0,2,230
4543,Ramamurthy Nagar,700.0,2,33.0,2,188
4544,7th Phase JP Nagar,1675.0,2,135.0,3,6
4545,others,3400.0,4,190.0,4,230
4546,others,1180.0,2,56.0,2,230
4547,Uttarahalli,1160.0,2,45.0,2,216
4548,Kasavanhalli,1863.0,3,105.0,4,130
4549,Sahakara Nagar,1914.0,3,149.0,3,190
4550,BTM Layout,1458.0,3,79.0,3,23
4551,Babusapalaya,1105.0,2,40.0,2,24
4552,Hulimavu,3035.0,5,220.0,3,105
4553,Akshaya Nagar,1662.0,3,90.0,3,11
4554,Yelahanka,1556.0,3,86.0,3,226
4555,Jigani,918.0,2,50.0,2,113
4556,Sarjapur  Road,1455.0,2,98.0,3,194
4557,others,1205.0,2,70.0,2,230
4558,others,1194.0,2,65.0,2,230
4559,Laggere,1200.0,2,75.0,2,152
4560,Bannerghatta Road,1100.0,2,52.0,3,34
4561,Sarjapur  Road,1405.0,3,48.87,3,194
4562,Subramanyapura,929.0,2,56.0,2,205
4563,8th Phase JP Nagar,2100.0,4,92.0,4,7
4564,Channasandra,1065.0,2,40.47,2,56
4565,Bannerghatta Road,1532.5,3,84.29,3,34
4566,Hormavu,1093.0,2,32.78,2,100
4567,Anandapura,1250.0,2,45.0,2,15
4568,Marathahalli,1680.0,3,105.0,3,161
4569,Nagarbhavi,1146.0,2,50.0,2,169
4570,others,1250.0,2,58.0,2,230
4571,Ramagondanahalli,1451.0,3,60.44,3,187
4572,others,1424.0,2,55.0,3,230
4573,Gottigere,1435.0,2,62.0,3,82
4574,Devanahalli,658.0,1,26.91,1,65
4575,Bommanahalli,1300.0,3,45.0,3,47
4576,Whitefield,1242.0,2,65.0,2,224
4577,Marathahalli,1910.0,3,119.0,3,161
4578,Yelahanka,1610.0,4,85.0,3,226
4579,Hulimavu,1127.0,2,65.0,2,105
4580,Yelahanka,1075.0,2,42.0,3,226
4581,Mysore Road,1155.0,2,51.0,2,166
4582,others,1250.0,3,55.0,3,230
4583,others,2200.0,4,160.0,3,230
4584,Billekahalli,2400.0,3,150.0,3,44
4585,Chandapura,876.0,2,29.5,2,55
4586,Nagarbhavi,1850.0,2,89.0,3,169
4587,Kadugodi,1314.0,2,83.0,2,117
4588,Rachenahalli,690.0,1,39.8,1,183
4589,Electronic City Phase II,3550.0,0,167.5,4,75
4590,others,1230.0,2,55.0,2,230
4591,Bommasandra,920.0,2,37.2,2,48
4592,Sarjapur  Road,1850.0,3,140.0,3,194
4593,Electronic City,1073.0,2,60.0,2,74
4594,others,1540.0,3,76.0,3,230
4595,Kanakpura Road,1550.0,3,63.5,3,127
4596,Kalyan nagar,1198.0,2,65.0,2,122
4597,HBR Layout,1656.0,3,90.0,3,87
4598,others,1900.0,3,155.0,3,230
4599,Ramagondanahalli,1910.0,3,142.0,3,187
4600,Mysore Road,1003.0,2,43.0,2,166
4601,others,1576.0,2,48.0,2,230
4602,Whitefield,1495.0,2,67.0,3,224
4603,Thanisandra,2172.0,3,76.02,3,209
4604,others,1200.0,1,95.0,2,230
4605,Whitefield,1548.0,3,65.0,3,224
4606,Whitefield,2856.0,5,154.5,4,224
4607,Hosur Road,1689.0,3,103.0,3,104
4608,Electronic City Phase II,1031.0,2,53.0,2,75
4609,others,1060.0,2,37.0,2,230
4610,others,1100.0,2,61.0,2,230
4611,Hennur Road,1250.0,2,77.88,3,96
4612,Seegehalli,1420.0,2,46.0,3,198
4613,others,1942.0,3,155.0,3,230
4614,Haralur Road,1985.0,3,130.0,3,90
4615,Sarjapur  Road,950.0,1,39.9,1,194
4616,others,1200.0,4,80.0,3,230
4617,Green Glen Layout,1752.0,3,105.0,3,83
4618,Old Madras Road,1480.0,2,84.0,3,177
4619,Sarjapur  Road,1826.0,3,130.0,3,194
4620,8th Phase JP Nagar,1035.0,2,39.33,2,7
4621,Sarjapur  Road,2600.0,4,98.0,4,194
4622,Kasavanhalli,1667.0,3,92.0,3,130
4623,Thanisandra,934.0,2,55.0,2,209
4624,JP Nagar,1576.0,3,69.34,3,109
4625,Mahadevpura,1620.0,2,76.0,3,156
4626,Electronic City,1070.0,2,47.0,2,74
4627,Hosur Road,3600.0,5,180.0,5,104
4628,Uttarahalli,1280.0,2,60.0,3,216
4629,others,1400.0,2,60.0,2,230
4630,others,1330.0,2,64.0,2,230
4631,Electronic City Phase II,1611.0,2,48.33,3,75
4632,Whitefield,1405.0,3,58.0,3,224
4633,others,1515.0,3,90.0,3,230
4634,Thigalarapalya,1830.0,4,150.0,3,210
4635,Kaggadasapura,1710.0,3,60.0,3,118
4636,BTM Layout,935.0,2,51.5,2,23
4637,Jakkur,2197.0,3,136.0,3,110
4638,Yeshwanthpur,1678.0,3,92.13,3,229
4639,Brookefield,1410.0,2,80.0,3,51
4640,Jakkur,1125.0,2,65.0,2,110
4641,Magadi Road,1191.0,2,55.38,3,155
4642,Thubarahalli,1200.0,2,79.0,2,211
4643,CV Raman Nagar,1525.0,2,67.0,3,53
4644,Seegehalli,920.0,2,27.0,2,198
